Job Title,Salary Estimate,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,age
Data scientist,$104K - $205K (Glassdoor est.),PayPal,4.1,"San Jose, CA",10000+ Employees,1998.0,Company - Public,Internet,Information Technology,$10+ billion (USD),0,0,104,205,154.5,Pay, CA,23.0
Data Scientist,$71K - $133K (Glassdoor est.),Camping World,-1.0,"Lincolnshire, IL",10000+ Employees,1966.0,Company - Public,Sporting Goods Stores,Retail,$2 to $5 billion (USD),0,0,71,133,102.0,Camping World, IL,55.0
Data Scientist,$88K - $173K (Glassdoor est.),RAPP,-1.0,"San Francisco, CA",501 to 1000 Employees,1965.0,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,0,88,173,130.5,RAPP, CA,56.0
"Senior Data Scientist, Core Experience",$106K - $210K (Glassdoor est.),Spotify,4.2,"New York, NY",5001 to 10000 Employees,2006.0,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,0,0,106,210,158.0,Spot, NY,15.0
"Data Scientist, Junior",$66K - $137K (Glassdoor est.),Booz Allen Hamilton,4.2,"New York, NY",10000+ Employees,1914.0,Company - Public,Consulting,Business Services,$5 to $10 billion (USD),0,0,66,137,101.5,Booz Allen Hamil, NY,107.0
"Data Scientist, Core Product",$75K - $161K (Glassdoor est.),Airtable,4.6,"San Francisco, CA",51 to 200 Employees,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,75,161,118.0,Airta, CA,9.0
Ecom Fraud Data Scientist,$60K - $141K (Glassdoor est.),GameStop,2.9,"Grapevine, TX",10000+ Employees,2000.0,Company - Public,Toy & Hobby Stores,Retail,$5 to $10 billion (USD),0,0,60,141,100.5,GameS, TX,21.0
"Data Scientist I, Product Analytics",$99K - $179K (Glassdoor est.),Tinder,-1.0,"San Francisco, CA",201 to 500 Employees,2012.0,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,0,0,99,179,139.0,Tinder, CA,9.0
Data Scientist,$90K - $153K (Glassdoor est.),SAP,4.5,"Bellevue, WA",10000+ Employees,1972.0,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),0,0,90,153,121.5,, WA,49.0
Data Scientist (All Levels),$85K - $167K (Glassdoor est.),Convoy,3.8,"Seattle, WA",501 to 1000 Employees,2015.0,Company - Private,Trucking,Transportation & Logistics,Unknown / Non-Applicable,0,0,85,167,126.0,Con, WA,6.0
Data Scientist,$80K - $158K (Glassdoor est.),Engine No. 1,4.0,"San Francisco, CA",Unknown,-1.0,Government,Municipal Governments,Government,Unknown / Non-Applicable,0,0,80,158,119.0,Engine No, CA,-1.0
"Data Scientist, Game Analytics",$90K - $170K (Glassdoor est.),Niantic,3.7,"San Francisco, CA",501 to 1000 Employees,2011.0,Company - Private,Video Games,,Unknown / Non-Applicable,0,0,90,170,130.0,Nian, CA,10.0
"Data Scientist 1, People Analytics (remote position)",$62K - $124K (Glassdoor est.),Nordstrom Inc,3.7,"Seattle, WA",10000+ Employees,1901.0,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),0,0,62,124,93.0,Nordstrom , WA,120.0
"Data Scientist, University Graduate - 2022 Start",$82K - $173K (Glassdoor est.),TikTok,-1.0,"Mountain View, CA",1001 to 5000 Employees,2016.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,0,0,82,173,127.5,TikTok, CA,5.0
Analyst-Data Science,$74K - $153K (Glassdoor est.),Amex,4.2,"New York, NY",10000+ Employees,1850.0,Company - Public,Financial Transaction Processing,Finance,$10+ billion (USD),0,0,74,153,113.5,A, NY,171.0
Statistician/Data Scientist,$79K - $132K (Glassdoor est.),Pfizer,4.2,"Groton, CT",10000+ Employees,1849.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,79,132,105.5,Pfi, CT,172.0
"Data Scientist, Revenue",$86K - $171K (Glassdoor est.),Notion,5.0,"San Francisco, CA",201 to 500 Employees,2016.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,86,171,128.5,Not, CA,5.0
Environmental Data Scientist/Analytics,$63K - $117K (Glassdoor est.),Abt Associates,3.5,"Rockville, MD",1001 to 5000 Employees,1965.0,Company - Private,Research & Development,Business Services,$500 million to $1 billion (USD),0,0,63,117,90.0,Abt Associa, MD,56.0
Data Scientist,$107K - $205K (Glassdoor est.),CyberCube,5.0,"San Francisco, CA",51 to 200 Employees,-1.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,107,205,156.0,CyberC, CA,-1.0
Data Scientist II - Algorithmic Justice Specialist,Employer Provided Salary:$116K,ACLU,3.9,"New York, NY",201 to 500 Employees,1920.0,Nonprofit Organization,Membership Organizations,Business Services,$50 to $100 million (USD),0,1,116,116,116.0,A, NY,101.0
Data Scientist-Operations Research,$59K - $126K (Glassdoor est.),E. & J. Gallo Winery,4.3,"Modesto, CA",5001 to 10000 Employees,1933.0,Company - Private,Food & Beverage Manufacturing,Manufacturing,$2 to $5 billion (USD),0,0,59,126,92.5,E. & J. Gallo Win, CA,88.0
Sr. Data Scientist,$79K - $141K (Glassdoor est.),TARGET,3.7,"Minneapolis, MN",10000+ Employees,1962.0,Company - Public,General Merchandise & Superstores,Retail,$10+ billion (USD),0,0,79,141,110.0,TAR, MN,59.0
Data Scientist,$88K - $148K (Glassdoor est.),Alaska Airlines,4.1,"Seattle, WA",10000+ Employees,1932.0,Company - Public,Airlines,Travel & Tourism,$5 to $10 billion (USD),0,0,88,148,118.0,Alaska Airli, WA,89.0
Data Scientist - Fraud Analytics (All Levels),$59K - $124K (Glassdoor est.),99,3.9,"Mountain View, CA",501 to 1000 Employees,2012.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,0,0,59,124,91.5,, CA,9.0
Operations Research Data Scientist,$75K - $156K (Glassdoor est.),Delta,4.4,"Atlanta, GA",10000+ Employees,1928.0,Company - Public,Airlines,Travel & Tourism,$10+ billion (USD),0,0,75,156,115.5,De, GA,93.0
Data Scientist,$81K - $140K (Glassdoor est.),PayPal,4.1,"Omaha, NE",10000+ Employees,1998.0,Company - Public,Internet,Information Technology,$10+ billion (USD),0,0,81,140,110.5,Pay, NE,23.0
"Data Scientist 1, People Analytics (remote position)",$62K - $124K (Glassdoor est.),Nordstrom Inc,3.7,"Seattle, WA",10000+ Employees,1901.0,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),0,0,62,124,93.0,Nordstrom , WA,120.0
"Senior Data Scientist, Core Experience",$106K - $210K (Glassdoor est.),Spotify,4.2,"New York, NY",5001 to 10000 Employees,2006.0,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,0,0,106,210,158.0,Spot, NY,15.0
"Data Scientist, Junior",$66K - $137K (Glassdoor est.),Booz Allen Hamilton,4.2,"New York, NY",10000+ Employees,1914.0,Company - Public,Consulting,Business Services,$5 to $10 billion (USD),0,0,66,137,101.5,Booz Allen Hamil, NY,107.0
Data Scientist,$88K - $173K (Glassdoor est.),RAPP,-1.0,"San Francisco, CA",501 to 1000 Employees,1965.0,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,0,88,173,130.5,RAPP, CA,56.0
Ecom Fraud Data Scientist,$60K - $141K (Glassdoor est.),GameStop,2.9,"Grapevine, TX",10000+ Employees,2000.0,Company - Public,Toy & Hobby Stores,Retail,$5 to $10 billion (USD),0,0,60,141,100.5,GameS, TX,21.0
"Data Scientist, Core Product",$75K - $161K (Glassdoor est.),Airtable,4.6,"San Francisco, CA",51 to 200 Employees,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,75,161,118.0,Airta, CA,9.0
Data Scientist II - Algorithmic Justice Specialist,Employer Provided Salary:$116K,ACLU,3.9,"New York, NY",201 to 500 Employees,1920.0,Nonprofit Organization,Membership Organizations,Business Services,$50 to $100 million (USD),0,1,116,116,116.0,A, NY,101.0
Environmental Data Scientist/Analytics,$63K - $117K (Glassdoor est.),Abt Associates,3.5,"Rockville, MD",1001 to 5000 Employees,1965.0,Company - Private,Research & Development,Business Services,$500 million to $1 billion (USD),0,0,63,117,90.0,Abt Associa, MD,56.0
"Data Scientist I, Product Analytics",$99K - $179K (Glassdoor est.),Tinder,-1.0,"San Francisco, CA",201 to 500 Employees,2012.0,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,0,0,99,179,139.0,Tinder, CA,9.0
